Well ID,Well type code,well_number,Field_Name,Operator,latitude,longitude,Measured_Depth,Drilling_Start,Drilling_end,Completion_Date,Reservoir,play_name,state_name,well_cost
8.799E+13,UN,x-1001,Calmuco (CAL),Provincia Mendoza,-36.53088,-69.76553,4097,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,443589.8769
8.799E+13,UN,x-1003,Calmuco (CAL),Provincia Mendoza,-36.53638,-69.76833,2618,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,259223.8152
8.799E+13,UN,CHOx-1,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.365903,-69.016933,15675,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,2178865.873
8.799E+13,UN,CDJx-2,Cerro Do„ëa Juana (CDJ),Geopark Argentina,-35.82004236,-69.78117952,11118,NULL,NULL,NULL,Agrio,Unassigned,Mendoza,1269930.345
8.799E+13,UN,CHEx-1,Cha„ëares Herrados (CHA),Cha„ëares Herrados,-33.359458,-68.947347,12007,NULL,NULL,NULL,Unassigned,Unassigned,Mendoza,1651346.45
8.799E+13,V,CHSx-1,Puesto Pozo Cercado (PCE),Cha„ëares Herrados,-33.404017,-69.001439,14819,2/7/1986,5/21/1986,NULL,Unassigned,Unassigned,Mendoza,1697034.319
8.799E+13,UN,PPCx-1004,Puesto Pozo Cercado (PCE),Cha„ëares Herrados,-33.359347,-68.963569,11991,NULL,NULL,NULL,Barrancas,Unassigned,Mendoza,1810493.061
8.799E+13,V,S-148,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-34.99167,-69.48856,5095,1/15/2001,1/26/2001,3/23/2001,Unassigned,Unassigned,Mendoza,733155.3127
8.799E+13,V,S-117,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.04043,-69.4062,3677,9/4/1995,9/16/1995,9/24/1995,Unassigned,Unassigned,Mendoza,401079.402
8.799E+13,V,S-131,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.04839,-69.40721,3740,1/29/1997,2/6/1997,2/13/1997,Unassigned,Unassigned,Mendoza,375075.7326
8.799E+13,V,S-145,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-34.96901,-69.52023,5577,6/9/2000,6/22/2000,7/8/2000,Agrio,Unassigned,Mendoza,709672.9384
8.799E+13,V,S-148,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-34.99167,-69.48885,5095,1/15/2001,1/26/2001,3/23/2001,Unassigned,Unassigned,Mendoza,688430.7308
8.799E+13,V,e-2,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-34.96604,-69.50277,5741,11/13/1987,1/5/1988,2/6/1988,Pircala,Unassigned,Mendoza,591619.8131
8.799E+13,V,a-4,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.02288,-69.41743,4714,12/1/1973,12/28/1973,1/21/1974,Unassigned,Unassigned,Mendoza,373570.4248
8.79901E+13,V,S-38,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.00298,-69.48794,5055,5/10/1987,6/9/1987,7/18/1987,Unassigned,Unassigned,Mendoza,481617.0303
8.79901E+13,V,a-20,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-34.99337,-69.50196,5882,5/15/1976,6/15/1976,7/14/1976,Unassigned,Unassigned,Mendoza,504945.069
8.79901E+13,V,a-12,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.05466,-69.38252,4442,10/1/1974,10/20/1974,12/18/1974,Unassigned,Unassigned,Mendoza,331552.9213
8.79901E+13,V,e-3,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-34.96614,-69.52893,6440,5/19/1988,7/1/1988,7/1/1988,Unassigned,Unassigned,Mendoza,793613.1101
8.79901E+13,V,e-3,El Sosneado (ESO),Petroquimica Comodoro Rivadavia,-35.02124,-69.55896,2962,11/17/1979,1/5/1980,3/26/1980,Unassigned,Unassigned,Mendoza,208975.7014
